,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-07-03 07:24:42.000000,2025-07-03 07:24:42,35560.0,581.0,5390.0,351.0,12374.0,1749.0,9426.0,13775.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1795.0,50,True,2025-06-22 17:11:36.000,1.16.0,117.0,scipy,conda-forge/scipy,,,,1444239.0,1388470.0,https://pypi.org/project/scipy,2025-06-22 16:18:17.000,55769.0,154144189.0,155302125.0,https://anaconda.org/conda-forge/scipy,2025-06-29 23:18:19.009,64605681.0,,,,,1.0,498918.0,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-07-03 02:01:30.000000,2025-07-03 02:01:30,60425.0,459.0,4709.0,290.0,14048.0,5385.0,9145.0,13718.0,A computer algebra system written in pure Python.,1383.0,50,True,2025-04-27 18:05:25.000,1.14.0,67.0,sympy,conda-forge/sympy,,,,286057.0,281494.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4563.0,52698315.0,52852572.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,9322573.0,,,,,1.0,560640.0,,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-07-03 05:14:52.000000,2025-07-03 05:14:51,52702.0,386.0,7857.0,588.0,19326.0,1647.0,9652.0,21392.0,matplotlib: plotting with Python.,1822.0,49,True,2025-05-09 17:22:05.000,3.10.3,133.0,matplotlib,conda-forge/matplotlib,,,,1898643.0,1838710.0,https://pypi.org/project/matplotlib,2025-05-08 19:09:39.000,59933.0,91241973.0,91750990.0,https://anaconda.org/conda-forge/matplotlib,2025-05-15 21:25:31.306,31050064.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-07-02 19:37:26.196000,2025-07-01 14:54:12,19711.0,295.0,2301.0,219.0,5541.0,115.0,3247.0,12883.0,Python Imaging Library (Fork).,489.0,48,True,2025-07-01 09:23:32.000,11.3.0,103.0,Pillow,conda-forge/pillow,,,,2388687.0,2372620.0,https://pypi.org/project/Pillow,2025-07-01 09:13:39.000,16067.0,158623527.0,159563396.0,https://anaconda.org/conda-forge/pillow,2025-07-02 19:37:26.196,56392167.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-07-02 21:48:00.000000,2025-07-01 22:09:40,11580.0,143.0,19585.0,1896.0,8183.0,301.0,12267.0,63169.0,Deep Learning for humans.,1418.0,47,True,2025-05-19 22:58:28.000,3.10.0,109.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1859.0,,https://pypi.org/project/keras,2025-05-19 22:58:28.000,1859.0,14024605.0,14093075.0,https://anaconda.org/conda-forge/keras,2025-05-20 06:37:42.993,4176702.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-07-03 10:57:04.000000,2025-07-03 07:27:56,25841.0,1167.0,6534.0,486.0,33473.0,4152.0,17875.0,37821.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1265.0,47,True,2025-06-18 17:53:53.000,ray-2.47.1,130.0,ray,conda-forge/ray-tune,,,,26450.0,25466.0,https://pypi.org/project/ray,2025-06-17 22:26:11.000,984.0,13552120.0,13566945.0,https://anaconda.org/conda-forge/ray-tune,2025-06-22 12:48:48.809,815257.0,,,,,1.0,261.0,,,,,,,,,,,,,,,,,,,
16,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-06-30 20:07:34.000000,2025-06-26 19:02:49,8093.0,293.0,2670.0,278.0,1911.0,681.0,2562.0,17381.0,The interactive graphing library for Python.,289.0,47,True,2025-06-26 16:24:04.000,6.2.0,309.0,plotly,conda-forge/plotly,,,,462040.0,453395.0,https://pypi.org/project/plotly,2025-06-26 16:20:40.000,8636.0,26770850.0,26938082.0,https://anaconda.org/conda-forge/plotly,2025-06-27 11:54:45.015,10098272.0,,,,,1.0,369.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,4355.0,,,,,,,,,,,,,,
17,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-07-03 14:43:00.000000,2025-07-03 14:42:58,7900.0,474.0,3545.0,324.0,6480.0,1203.0,4169.0,40207.0,Streamlit A faster way to build and share data apps.,464.0,46,True,2025-06-26 16:03:09.000,1.46.1,246.0,streamlit,,,,,997657.0,993690.0,https://pypi.org/project/streamlit,2025-06-26 16:03:02.000,3967.0,13246800.0,13246800.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-07-03 13:52:52.000000,2025-07-03 13:52:29,28747.0,1960.0,3065.0,328.0,20402.0,1548.0,4801.0,32682.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",914.0,46,True,2025-06-17 23:10:25.000,0.6.2,179.0,jax,conda-forge/jaxlib,,,,48420.0,45787.0,https://pypi.org/project/jax,2025-06-17 23:10:25.000,2633.0,8864296.0,8910600.0,https://anaconda.org/conda-forge/jaxlib,2025-05-31 06:42:56.357,2824571.0,,,,,1.0,,,,,,,jax-ml/jax,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-07-03 11:06:19.000000,2025-07-03 11:06:19,7452.0,62.0,8780.0,904.0,6014.0,470.0,5090.0,27071.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",663.0,46,True,2025-05-25 09:09:35.000,3.0.2,90.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,168157.0,165680.0,https://pypi.org/project/xgboost,2025-05-25 09:09:35.000,2477.0,26122355.0,26226657.0,https://anaconda.org/conda-forge/xgboost,2025-05-26 23:05:23.787,6250553.0,,,,,1.0,17395.0,,,,,,,,,,,,,,,,,,,
20,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-07-03 13:18:12.000000,2025-07-02 16:05:34,8586.0,305.0,2169.0,422.0,1293.0,543.0,1459.0,23238.0,Data Apps & Dashboards for Python. No JavaScript Required.,183.0,46,True,2025-06-30 15:33:17.000,3.1.1,193.0,dash,conda-forge/dash,,,,90187.0,88461.0,https://pypi.org/project/dash,2025-06-30 15:31:22.000,1726.0,5785972.0,5816991.0,https://anaconda.org/conda-forge/dash,2025-04-27 13:39:41.261,1892108.0,,,,,1.0,90.0,,,,,,,,,,,,,,,,,,,
21,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-07-03 14:51:24.000000,2025-07-03 13:11:23,7849.0,241.0,2962.0,188.0,5274.0,428.0,5402.0,38854.0,"Wrap UIs around any model, share with anyone.",616.0,45,True,2025-06-27 22:49:40.000,5.35.0,655.0,gradio,,,,,83133.0,81790.0,https://pypi.org/project/gradio,2025-06-27 22:49:40.000,1343.0,7554427.0,7554427.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-07-03 14:11:59.000000,2025-07-03 14:11:59,54536.0,1106.0,5762.0,714.0,54711.0,1853.0,17828.0,22983.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1402.0,45,True,2025-06-29 15:25:35.000,3.1.0,75.0,paddlepaddle,,,,['paddle'],8815.0,8578.0,https://pypi.org/project/paddlepaddle,2025-06-29 15:25:35.000,237.0,435666.0,435810.0,,,,,,,,1.0,15437.0,,,,,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-07-03 14:33:44.000000,2025-07-03 12:48:32,8118.0,663.0,4637.0,309.0,11764.0,1888.0,2949.0,21108.0,Open source platform for the machine learning lifecycle.,870.0,45,True,2025-06-25 10:15:17.000,3.1.1,144.0,mlflow,conda-forge/mlflow,,,,65618.0,64465.0,https://pypi.org/project/mlflow,2025-06-25 09:12:53.000,1153.0,20394131.0,20448557.0,https://anaconda.org/conda-forge/mlflow,2025-06-30 12:49:28.573,3320035.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-07-03 02:52:35.000000,2025-07-03 02:52:33,8015.0,70.0,3373.0,281.0,4194.0,395.0,3106.0,15911.0,Network Analysis in Python.,779.0,45,True,2025-05-29 11:58:31.000,networkx-3.5,100.0,networkx,conda-forge/networkx,,,,435585.0,423958.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,100683796.0,101074865.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,23073103.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,
25,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-06-15 11:47:32.000000,2025-06-15 11:47:32,14761.0,19.0,2930.0,458.0,1518.0,263.0,1603.0,14154.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,472.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,411685.0,405874.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,5811.0,30665836.0,30728103.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3237887.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-06-23 14:41:16.000000,2025-06-23 14:41:16,9573.0,45.0,1777.0,212.0,6303.0,1164.0,4422.0,13307.0,Parallel computing with task scheduling.,624.0,45,True,2025-05-20 19:54:20.000,2025.5.1,221.0,dask,conda-forge/dask,,,,79197.0,76257.0,https://pypi.org/project/dask,2025-05-20 19:54:20.000,2940.0,14383857.0,14600935.0,https://anaconda.org/conda-forge/dask,2025-05-20 21:44:45.329,13458871.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
27,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-07-03 13:39:13.000000,2025-07-03 13:38:19,6661.0,214.0,8372.0,461.0,3601.0,208.0,9624.0,51192.0,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system,..",303.0,44,True,2025-06-29 06:58:04.000,3.1.0,55.0,paddleocr,,,,['paddle'],6161.0,6007.0,https://pypi.org/project/paddleocr,2025-06-29 06:58:04.000,154.0,506148.0,540546.0,,,,,,,,1.0,1995117.0,,,,,,,,,,,,,,,,,,,
28,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-07-03 12:23:06.000000,2025-07-03 12:23:00,44734.0,651.0,28587.0,2015.0,51329.0,183.0,,41386.0,Apache Spark Python API.,3252.0,44,True,2025-05-27 08:24:20.000,3.5.6,53.0,pyspark,conda-forge/pyspark,,,['spark'],1887.0,,https://pypi.org/project/pyspark,2025-05-27 08:24:20.000,1887.0,43832442.0,43897779.0,https://anaconda.org/conda-forge/pyspark,2025-05-23 07:05:33.236,3985610.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,
29,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-05-28 15:28:05.000000,2025-05-28 15:23:38,16246.0,19.0,4513.0,565.0,4060.0,196.0,5550.0,31882.0,Industrial-strength Natural Language Processing (NLP) in Python.,770.0,44,True,2025-05-23 08:54:03.000,3.8.7,242.0,spacy,conda-forge/spacy,,,,141758.0,138566.0,https://pypi.org/project/spacy,2025-05-23 08:54:03.000,3192.0,11539477.0,11636465.0,https://anaconda.org/conda-forge/spacy,2025-05-20 06:41:40.051,5914092.0,,,,,1.0,3172.0,,,,,,,,,,,,,,,,,,,
30,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-07-03 09:22:49.000000,2025-07-03 05:40:03,10674.0,132.0,3529.0,255.0,10577.0,954.0,6402.0,29707.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1026.0,44,True,2025-06-20 15:58:25.000,2.5.2,288.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],49427.0,47699.0,https://pypi.org/project/pytorch-lightning,2025-06-20 15:58:25.000,1728.0,10147962.0,10174411.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-06-21 11:25:06.850,1595424.0,,,,,2.0,13872.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,
31,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-06-26 06:02:20.000000,2025-06-19 15:59:47,20789.0,36.0,4221.0,433.0,6358.0,826.0,7174.0,19953.0,"Interactive Data Visualization in the browser, from Python.",711.0,44,True,2025-05-12 12:13:27.000,3.7.3,241.0,bokeh,conda-forge/bokeh,,,,105513.0,103528.0,https://pypi.org/project/bokeh,2025-06-05 15:41:54.000,1985.0,4205103.0,4481907.0,https://anaconda.org/conda-forge/bokeh,2025-05-12 23:15:08.842,16885057.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-07-03 10:20:42.000000,2025-07-03 10:20:42,2329.0,516.0,2624.0,144.0,730.0,1280.0,1161.0,17059.0,State-of-the-Art Text Embeddings.,230.0,44,True,2025-07-01 13:56:10.000,5.0.0,66.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],122784.0,119921.0,https://pypi.org/project/sentence-transformers,2025-07-01 13:01:31.000,2863.0,10450487.0,10463733.0,https://anaconda.org/conda-forge/sentence-transformers,2025-07-01 20:49:11.289,768271.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,
33,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-07-03 11:58:30.000000,2025-07-03 02:48:20,4329.0,629.0,2003.0,199.0,5373.0,771.0,1049.0,16016.0,Development repository for the Triton language and compiler.,421.0,44,True,2025-05-29 23:39:36.000,3.3.1,199.0,triton,,,,,72903.0,72478.0,https://pypi.org/project/triton,2025-05-29 23:39:36.000,425.0,26751286.0,26751286.0,,,,,,,,1.0,,,,,,,triton-lang/triton,,,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-07-03 10:41:03.000000,2025-07-03 10:41:02,19513.0,470.0,1118.0,116.0,3999.0,68.0,1690.0,12230.0,A hyperparameter optimization framework.,309.0,44,True,2025-06-16 05:12:58.000,4.4.0,74.0,optuna,conda-forge/optuna,,,,30082.0,28698.0,https://pypi.org/project/optuna,2025-06-16 05:12:58.000,1384.0,4777597.0,4826246.0,https://anaconda.org/conda-forge/optuna,2025-06-17 02:59:31.546,2967607.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-07-03 06:45:55.000000,2025-07-03 01:52:41,8137.0,301.0,754.0,61.0,6490.0,644.0,2966.0,10046.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",214.0,44,True,2025-07-02 00:25:13.000,0.21.0,315.0,wandb,conda-forge/wandb,,,,84435.0,82440.0,https://pypi.org/project/wandb,2025-07-02 00:23:46.000,1995.0,17981157.0,17999722.0,https://anaconda.org/conda-forge/wandb,2025-07-02 20:19:39.189,1112780.0,,,,,1.0,945.0,,,,,,wandb/wandb,,,,,,,,,,,,,
36,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-07-03 14:26:51.000000,2025-07-03 05:23:10,23042.0,1782.0,3374.0,127.0,6021.0,1347.0,5004.0,24878.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",647.0,43,True,2025-07-02 15:51:43.000,1.73.0.debug_mem,1178.0,litellm,,,,others,16904.0,15546.0,https://pypi.org/project/litellm,2025-07-02 18:18:57.000,1358.0,11062531.0,11062771.0,,,,,,,,1.0,721.0,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-07-03 12:41:16.000000,2025-07-03 12:41:16,3239.0,130.0,3759.0,437.0,3868.0,314.0,2720.0,19184.0,Open standard for machine learning interoperability.,351.0,43,True,2025-05-12 23:07:37.000,1.18.0,36.0,onnx,conda-forge/onnx,,,,49486.0,48060.0,https://pypi.org/project/onnx,2025-05-12 22:01:31.000,1426.0,7360458.0,7391143.0,https://anaconda.org/conda-forge/onnx,2025-06-02 19:29:29.939,1856234.0,,,,,1.0,23780.0,,,,,,,,,,,,,,,,,,,
38,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-07-02 22:52:22.000000,2025-06-27 20:05:34,1592.0,92.0,2713.0,252.0,765.0,151.0,1491.0,18115.0,Download market data from Yahoo! Finances API.,135.0,43,True,2025-06-27 16:17:32.000,0.2.64,136.0,yfinance,ranaroussi/yfinance,,,,85533.0,84479.0,https://pypi.org/project/yfinance,2025-06-27 16:17:32.000,1054.0,4138223.0,4140269.0,https://anaconda.org/ranaroussi/yfinance,2025-03-25 16:27:42.706,98229.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
