,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-08-12 23:39:28.000000,2025-08-12 23:39:28,11649.0,140.0,19612.0,1884.0,8276.0,295.0,12292.0,63324.0,Deep Learning for humans.,1425.0,48,True,2025-08-11 21:12:49.000,3.11.2,112.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],305455.0,303487.0,https://pypi.org/project/keras,2025-08-11 21:05:12.000,1968.0,https://anaconda.org/conda-forge/keras,2025-05-20 06:37:42.993,4281442.0,69055.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-08-12 08:25:14.017000,2025-08-11 12:56:38,35756.0,484.0,5440.0,351.0,12478.0,1753.0,9493.0,13916.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1810.0,48,True,2025-07-27 17:14:18.000,1.16.1,118.0,,scipy,conda-forge/scipy,,,,1452047.0,1394090.0,https://pypi.org/project/scipy,2025-07-27 16:26:29.000,57957.0,https://anaconda.org/conda-forge/scipy,2025-08-12 08:25:14.017,66469173.0,1170330.0,,,,,1.0,492061.0,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-08-14 10:42:28.000000,2025-08-14 10:42:28,52864.0,336.0,7941.0,586.0,19447.0,1650.0,9700.0,21550.0,matplotlib: plotting with Python.,1838.0,47,True,2025-07-31 18:07:36.000,3.10.5,134.0,,matplotlib,conda-forge/matplotlib,,,,1910003.0,1845605.0,https://pypi.org/project/matplotlib,2025-07-31 18:07:36.000,64398.0,https://anaconda.org/conda-forge/matplotlib,2025-08-05 21:41:53.591,31890614.0,514364.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-08-13 12:34:06.000000,2025-08-13 12:34:06,60763.0,472.0,4709.0,290.0,14117.0,5385.0,9162.0,13819.0,A computer algebra system written in pure Python.,1393.0,47,True,2025-04-27 18:05:25.000,1.14.0,67.0,,sympy,conda-forge/sympy,,,,287824.0,283261.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4563.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,9708264.0,157982.0,,,,,1.0,563105.0,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-08-12 07:57:52.000000,2025-08-12 07:57:51,19813.0,284.0,2315.0,218.0,5604.0,133.0,3265.0,12989.0,Python Imaging Library (Fork).,490.0,46,True,2025-07-01 09:23:32.000,11.3.0,103.0,,Pillow,conda-forge/pillow,,,,2398075.0,2380663.0,https://pypi.org/project/Pillow,2025-07-01 09:13:39.000,17412.0,https://anaconda.org/conda-forge/pillow,2025-07-02 19:37:26.196,58304309.0,955808.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-08-14 14:18:31.000000,2025-08-14 07:59:20,26498.0,1289.0,6703.0,489.0,34385.0,2987.0,18179.0,38467.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1321.0,45,True,2025-07-18 22:32:08.000,2.48.0,131.0,,ray,conda-forge/ray-tune,,,,26798.0,25772.0,https://pypi.org/project/ray,2025-07-18 22:32:08.000,1026.0,https://anaconda.org/conda-forge/ray-tune,2025-08-01 06:07:06.732,846258.0,15114.0,,,,,1.0,263.0,,,,,,,,,,,,,,,,,,
16,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-08-13 11:54:10.000000,2025-08-12 21:01:16,8177.0,192.0,2693.0,278.0,1943.0,714.0,2571.0,17594.0,The interactive graphing library for Python.,292.0,45,True,2025-08-12 20:24:33.000,6.3.0,310.0,,plotly,conda-forge/plotly,,,,464390.0,455745.0,https://pypi.org/project/plotly,2025-08-12 20:22:09.000,8636.0,https://anaconda.org/conda-forge/plotly,2025-08-13 06:43:59.044,10685018.0,178275.0,,,,,1.0,451.0,1.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,8669.0,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-08-13 04:15:38.449000,2025-08-12 08:22:52,7503.0,82.0,8795.0,901.0,6079.0,472.0,5107.0,27239.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",666.0,43,True,2025-08-11 11:00:52.000,3.0.4,92.0,,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,169044.0,166363.0,https://pypi.org/project/xgboost,2025-08-11 11:00:52.000,2681.0,https://anaconda.org/conda-forge/xgboost,2025-08-13 04:15:38.449,6368673.0,104537.0,,,,,1.0,18257.0,,,,,,,,,,,,,,,,,,
18,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-08-13 21:59:01.000000,2025-08-13 19:35:00,8658.0,235.0,2186.0,421.0,1311.0,546.0,1469.0,23930.0,Data Apps & Dashboards for Python. No JavaScript Required.,186.0,43,True,2025-07-31 19:20:26.000,3.2.0,194.0,,dash,conda-forge/dash,,,,90549.0,88756.0,https://pypi.org/project/dash,2025-07-31 19:18:50.000,1793.0,https://anaconda.org/conda-forge/dash,2025-08-11 10:03:34.775,1957085.0,31566.0,,,,,1.0,90.0,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-08-14 10:39:07.000000,2025-08-12 16:21:58,20817.0,48.0,4228.0,434.0,6383.0,825.0,7201.0,20033.0,"Interactive Data Visualization in the browser, from Python.",712.0,43,True,2025-05-12 12:13:27.000,3.7.3,243.0,,bokeh,conda-forge/bokeh,,,,105842.0,103770.0,https://pypi.org/project/bokeh,2025-08-08 18:27:46.000,2072.0,https://anaconda.org/conda-forge/bokeh,2025-05-12 23:15:08.842,17175661.0,277026.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
20,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-08-12 02:58:34.000000,2025-08-07 11:14:00,6679.0,212.0,8416.0,468.0,3640.0,208.0,9734.0,52629.0,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system,..",303.0,42,True,2025-06-29 06:58:04.000,3.1.0,55.0,,paddleocr,,,,['paddle'],6214.0,6060.0,https://pypi.org/project/paddleocr,2025-06-29 06:58:04.000,154.0,,,,33950.0,,,,,1.0,2003079.0,,,,,,,,,,,,,,,,,,
21,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-08-14 03:07:48.000000,2025-08-14 03:07:43,45273.0,858.0,28732.0,2019.0,51984.0,219.0,,41656.0,Apache Spark Python API.,3282.0,42,True,2025-05-27 08:24:20.000,3.5.6,54.0,,pyspark,conda-forge/pyspark,,,['spark'],1976.0,,https://pypi.org/project/pyspark,2025-07-14 02:11:52.000,1976.0,https://anaconda.org/conda-forge/pyspark,2025-05-23 07:05:33.236,4113737.0,66350.0,,,,,1.0,,1.0,,,,,,stable/spark,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-08-14 13:52:58.000000,2025-08-14 13:27:14,29769.0,1967.0,3106.0,326.0,21333.0,1581.0,4872.0,33130.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",934.0,42,True,2025-07-22 20:33:48.000,jax-v0.7.0,180.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,48940.0,46167.0,https://pypi.org/project/jax,2025-07-22 20:30:55.000,2773.0,https://anaconda.org/conda-forge/jaxlib,2025-07-27 11:03:40.763,2969197.0,47890.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-07-06 12:34:02.785000,2025-05-28 15:23:38,16246.0,16.0,4513.0,566.0,4064.0,196.0,5550.0,32173.0,Industrial-strength Natural Language Processing (NLP) in Python.,770.0,42,True,2025-05-23 08:54:03.000,3.8.7,242.0,,spacy,conda-forge/spacy,,,,142488.0,139296.0,https://pypi.org/project/spacy,2025-05-23 08:54:03.000,3192.0,https://anaconda.org/conda-forge/spacy,2025-07-06 12:34:02.785,6086750.0,98214.0,,,,,1.0,3704.0,,,,,,,,,,,,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-08-14 10:56:20.000000,2025-08-14 10:56:18,8435.0,705.0,4753.0,312.0,12305.0,1950.0,3049.0,21597.0,The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI..,884.0,42,True,2025-08-06 03:23:50.000,3.2.0,150.0,,mlflow,conda-forge/mlflow,,,,66109.0,64887.0,https://pypi.org/project/mlflow,2025-08-13 11:30:40.000,1222.0,https://anaconda.org/conda-forge/mlflow,2025-08-08 01:00:16.266,3438663.0,55462.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-08-08 15:35:59.000000,2025-08-08 15:35:59,8048.0,67.0,3373.0,282.0,4243.0,395.0,3114.0,16060.0,Network Analysis in Python.,784.0,42,True,2025-05-29 11:58:31.000,networkx-3.5,100.0,,networkx,conda-forge/networkx,,,,438035.0,426408.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,23906879.0,398447.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,
26,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-08-07 17:24:04.000000,2025-08-07 17:24:04,14782.0,38.0,2938.0,455.0,1524.0,267.0,1607.0,14237.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,474.0,42,True,2024-08-18 19:48:21.000,3.9.1,63.0,,nltk,conda-forge/nltk,,,,413412.0,407424.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,5988.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3295889.0,62186.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
27,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-08-12 06:36:51.000000,2025-08-04 17:59:07,9592.0,29.0,1791.0,212.0,6333.0,1191.0,4426.0,13404.0,Parallel computing with task scheduling.,626.0,42,True,2025-07-14 20:03:33.000,2025.7.0,222.0,,dask,conda-forge/dask,,,,79749.0,76643.0,https://pypi.org/project/dask,2025-07-14 20:03:33.000,3106.0,https://anaconda.org/conda-forge/dask,2025-07-15 01:17:58.319,13756314.0,218354.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-07-18 15:23:22.000000,2025-07-18 15:23:21,15742.0,37.0,3280.0,288.0,4027.0,2924.0,2842.0,10874.0,Statsmodels: statistical modeling and econometrics in Python.,462.0,42,True,2025-07-07 12:05:08.000,0.14.5,40.0,,statsmodels,conda-forge/statsmodels,,,,183039.0,177455.0,https://pypi.org/project/statsmodels,2025-07-07 12:05:08.000,5584.0,https://anaconda.org/conda-forge/statsmodels,2025-07-07 20:02:33.033,20860763.0,336463.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,
29,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-08-14 09:01:46.000000,2025-08-14 06:59:43,22919.0,575.0,3344.0,312.0,26375.0,654.0,13441.0,36646.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",322.0,41,True,2025-08-11 06:32:49.000,client/v2.5.6,126.0,,pymilvus,,milvusdb/milvus,,,322.0,,https://pypi.org/project/pymilvus,2025-08-06 09:08:58.000,322.0,,,,999433.0,https://hub.docker.com/r/milvusdb/milvus,2025-08-05 11:31:44.965042,85.0,70351663.0,1.0,385455.0,-1.0,,,,,,,,,,,,,,,,,
30,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-08-14 10:52:56.000000,2025-08-13 21:46:46,10741.0,139.0,3557.0,255.0,10647.0,931.0,6462.0,29965.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1035.0,41,True,2025-08-13 20:29:37.000,2.5.3,289.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],49681.0,47914.0,https://pypi.org/project/pytorch-lightning,2025-08-13 20:29:37.000,1767.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-08-14 05:17:02.822,1637716.0,26712.0,,,,,2.0,14308.0,,,,,,,,,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-08-14 11:40:00.000000,2025-08-14 11:40:00,55094.0,1262.0,5787.0,715.0,55466.0,1794.0,17919.0,23136.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1418.0,41,True,2025-06-29 15:25:35.000,3.1.0,75.0,,paddlepaddle,,,,['paddle'],8894.0,8645.0,https://pypi.org/project/paddlepaddle,2025-06-29 15:25:35.000,249.0,,,,142.0,,,,,2.0,15438.0,,,,,,,,,,,,,,,,,,
32,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-08-06 18:40:22.425000,2025-08-06 14:05:54,2356.0,288.0,2661.0,148.0,760.0,1302.0,1179.0,17327.0,State-of-the-Art Text Embeddings.,234.0,41,True,2025-08-06 13:49:08.000,5.1.0,67.0,,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],124557.0,121410.0,https://pypi.org/project/sentence-transformers,2025-08-06 13:48:53.000,3147.0,https://anaconda.org/conda-forge/sentence-transformers,2025-08-06 18:40:22.425,832000.0,14101.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-08-11 22:26:50.000000,2025-08-03 13:17:18,5201.0,31.0,2159.0,1664.0,5144.0,433.0,2791.0,13408.0,WebGL2 powered visualization framework.,294.0,41,True,2025-07-28 19:19:36.867,9.1.14,699.0,,pydeck,conda-forge/pydeck,,,['jupyter'],9693.0,9187.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,801785.0,618879.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-07-28 19:19:36.867,349.0,605735.0,,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-08-14 05:31:45.000000,2025-08-14 05:31:45,19759.0,513.0,1135.0,118.0,4041.0,68.0,1710.0,12478.0,A hyperparameter optimization framework.,313.0,41,True,2025-06-16 05:12:58.000,4.4.0,74.0,,optuna,conda-forge/optuna,,,,30428.0,29044.0,https://pypi.org/project/optuna,2025-06-16 05:12:58.000,1384.0,https://anaconda.org/conda-forge/optuna,2025-06-17 02:59:31.546,3170248.0,51133.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-08-14 08:19:55.000000,2025-08-13 03:47:07,8273.0,323.0,764.0,62.0,6673.0,659.0,2991.0,10214.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",217.0,41,True,2025-08-07 18:54:49.000,0.21.1,316.0,wandb/wandb,wandb,conda-forge/wandb,,,,85117.0,83010.0,https://pypi.org/project/wandb,2025-08-07 18:52:22.000,2107.0,https://anaconda.org/conda-forge/wandb,2025-07-02 20:19:39.189,1155802.0,18967.0,,,,,1.0,996.0,,,,,,,,,,,,,,,,,,
36,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-08-14 14:56:09.000000,2025-08-14 13:42:01,8113.0,497.0,3646.0,326.0,6730.0,1244.0,4259.0,40905.0,Streamlit A faster way to build and share data apps.,495.0,40,True,2025-08-13 12:04:00.000,1.48.1,250.0,,streamlit,,,,,1000065.0,995863.0,https://pypi.org/project/streamlit,2025-08-13 12:03:52.000,4202.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-08-08 19:23:26.000000,2025-08-08 19:22:57,2908.0,142.0,4971.0,319.0,651.0,50.0,945.0,35027.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",178.0,40,True,2025-07-24 03:06:41.000,1.0.19,70.0,huggingface/pytorch-image-models,timm,conda-forge/timm,,,['pytorch'],62137.0,60818.0,https://pypi.org/project/timm,2025-07-24 03:04:03.000,1319.0,https://anaconda.org/conda-forge/timm,2025-07-24 15:16:43.495,427603.0,115948.0,,,,,1.0,8170433.0,,,,,,,,,,,,,,,,,,
