,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-09-24 17:59:22.000000,2025-09-24 17:59:22,53267.0,7994.0,587.0,19565.0,1645.0,9764.0,21734.0,matplotlib: plotting with Python.,1852.0,49,True,454.0,2025-08-30 00:12:30.000,3.10.6,135.0,,matplotlib,conda-forge/matplotlib,,,,1918156.0,1852022.0,https://pypi.org/project/matplotlib,2025-08-30 00:12:30.000,66134.0,119205703.0,119725576.0,https://anaconda.org/conda-forge/matplotlib,2025-09-04 19:48:17.124,32752004.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-09-23 02:17:41.000000,2025-09-23 02:17:40,19909.0,2331.0,218.0,5661.0,139.0,3279.0,13089.0,Python Imaging Library (Fork).,490.0,49,True,215.0,2025-07-01 09:23:32.000,11.3.0,103.0,,Pillow,conda-forge/pillow,,,,2406481.0,2387755.0,https://pypi.org/project/Pillow,2025-07-01 09:13:39.000,18726.0,204162271.0,205136554.0,https://anaconda.org/conda-forge/pillow,2025-09-18 17:04:36.385,60405587.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-09-25 14:24:46.000000,2025-09-25 14:24:45,27198.0,6821.0,487.0,35353.0,3113.0,18451.0,39096.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1351.0,48,True,1430.0,2025-09-19 19:14:37.000,2.49.2,134.0,,ray,conda-forge/ray-tune,,,,27159.0,26096.0,https://pypi.org/project/ray,2025-09-19 19:14:37.000,1063.0,18752266.0,18767708.0,https://anaconda.org/conda-forge/ray-tune,2025-09-22 19:17:06.644,880059.0,,,,,1.0,266.0,1.0,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-09-25 15:32:18.000000,2025-09-25 10:56:15,8336.0,3739.0,324.0,7011.0,1258.0,4380.0,41532.0,Streamlit A faster way to build and share data apps.,537.0,47,True,475.0,2025-09-23 19:24:05.000,1.50.0,253.0,,streamlit,,,,,1002126.0,997710.0,https://pypi.org/project/streamlit,2025-09-23 19:23:57.000,4416.0,15890358.0,15890358.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-09-19 15:28:16.000000,2025-08-27 16:32:51,8192.0,2709.0,279.0,1953.0,722.0,2578.0,17772.0,The interactive graphing library for Python.,292.0,47,True,89.0,2025-08-12 20:24:33.000,6.3.0,310.0,,plotly,conda-forge/plotly,,,,467338.0,457822.0,https://pypi.org/project/plotly,2025-08-12 20:22:09.000,9507.0,32838039.0,33016812.0,https://anaconda.org/conda-forge/plotly,2025-08-13 06:43:59.044,11243836.0,,,,,1.0,490.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,3086.0,,,,,,,,,,,,
18,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-09-25 09:41:30.000000,2025-09-25 05:12:13,25499.0,4210.0,142.0,7387.0,1210.0,6105.0,29263.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",859.0,46,True,2577.0,2025-09-24 18:23:13.000,1.77.4-nightly,1229.0,,litellm,,,,others,18527.0,16802.0,https://pypi.org/project/litellm,2025-09-24 17:52:40.000,1725.0,26910522.0,26910740.0,,,,,,,,1.0,655.0,1.0,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-09-25 11:27:29.000000,2025-09-25 11:27:29,7538.0,8799.0,898.0,6124.0,476.0,5133.0,27417.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",669.0,46,True,92.0,2025-09-05 09:19:35.000,3.0.5,93.0,,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,169700.0,166943.0,https://pypi.org/project/xgboost,2025-09-05 09:19:35.000,2757.0,32119963.0,32224940.0,https://anaconda.org/conda-forge/xgboost,2025-09-16 10:15:26.197,6500071.0,,,,,1.0,19151.0,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-09-25 12:03:20.000000,2025-09-25 12:03:20,55693.0,5823.0,714.0,56292.0,1798.0,17974.0,23244.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1432.0,46,True,1253.0,2025-09-08 13:41:01.000,3.2.0,77.0,,paddlepaddle,,,,['paddle'],8977.0,8718.0,https://pypi.org/project/paddlepaddle,2025-09-08 07:50:35.000,259.0,616345.0,616486.0,,,,,,,,1.0,15456.0,,,,,,,,,,,,,,,,,,
21,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-09-25 09:28:33.000000,2025-09-25 09:28:26,45608.0,28838.0,2025.0,52413.0,218.0,,41976.0,Apache Spark Python API.,3299.0,45,True,914.0,2025-09-23 19:46:10.000,3.5.7,56.0,,pyspark,conda-forge/pyspark,,,['spark'],2022.0,,https://pypi.org/project/pyspark,2025-09-23 19:46:10.000,2022.0,45328889.0,45395417.0,https://anaconda.org/conda-forge/pyspark,2025-09-08 08:26:11.689,4191320.0,,,,,1.0,,,,,,,,stable/spark,,,,,,,,,,,
22,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-09-25 13:32:20.000000,2025-09-25 13:23:56,8070.0,3072.0,193.0,5540.0,398.0,5658.0,40018.0,"Wrap UIs around any model, share with anyone.",680.0,45,True,229.0,2025-09-23 17:39:57.000,5.47.0,673.0,,gradio,,,,,84578.0,83045.0,https://pypi.org/project/gradio,2025-09-23 17:39:57.000,1533.0,9243886.0,9243886.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-09-25 13:59:31.000000,2025-09-25 13:59:26,30713.0,3165.0,326.0,22270.0,1617.0,4933.0,33531.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",955.0,45,True,2069.0,2025-09-16 17:19:35.000,jax-v0.7.2,182.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,49500.0,46543.0,https://pypi.org/project/jax,2025-09-16 16:48:51.000,2957.0,11304853.0,11353923.0,https://anaconda.org/conda-forge/jaxlib,2025-09-22 00:53:32.261,3091472.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-09-24 18:46:44.000000,2025-09-09 14:25:10,8710.0,2205.0,422.0,1334.0,563.0,1480.0,24100.0,Data Apps & Dashboards for Python. No JavaScript Required.,187.0,45,True,127.0,2025-07-31 19:20:26.000,3.2.0,197.0,,dash,conda-forge/dash,,,,90896.0,89023.0,https://pypi.org/project/dash,2025-09-24 17:20:21.000,1873.0,4837278.0,4869343.0,https://anaconda.org/conda-forge/dash,2025-08-11 10:03:34.775,2020044.0,,,,,1.0,104.0,,,,,,,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-09-25 14:26:20.000000,2025-09-24 16:51:37,8826.0,4831.0,315.0,12906.0,2002.0,3093.0,22219.0,The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI..,896.0,45,True,755.0,2025-09-17 06:59:33.000,3.4.0,156.0,,mlflow,conda-forge/mlflow,,,,66520.0,65252.0,https://pypi.org/project/mlflow,2025-09-17 06:24:26.000,1268.0,23544413.0,23600749.0,https://anaconda.org/conda-forge/mlflow,2025-08-08 01:00:16.266,3549229.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-09-25 07:08:26.000000,2025-09-23 21:50:34,20847.0,4234.0,435.0,6409.0,825.0,7222.0,20105.0,"Interactive Data Visualization in the browser, from Python.",715.0,45,True,58.0,2025-08-29 12:16:52.000,3.8.0,247.0,,bokeh,conda-forge/bokeh,,,,106089.0,103992.0,https://pypi.org/project/bokeh,2025-08-29 13:16:50.000,2097.0,5010879.0,5288581.0,https://anaconda.org/conda-forge/bokeh,2025-08-30 08:43:51.245,17495268.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
27,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-09-25 15:31:27.000000,2025-09-25 15:31:27,4918.0,2147.0,203.0,6172.0,804.0,1106.0,17006.0,Development repository for the Triton language and compiler.,464.0,45,True,608.0,2025-07-30 20:47:15.000,3.4.0,200.0,triton-lang/triton,triton,,,,,74266.0,73798.0,https://pypi.org/project/triton,2025-07-30 19:58:21.000,468.0,36169289.0,36169732.0,,,,,,,,1.0,887.0,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-09-23 22:18:16.000000,2025-09-23 22:18:16,8102.0,3392.0,282.0,4305.0,388.0,3134.0,16197.0,Network Analysis in Python.,790.0,45,True,88.0,2025-05-29 11:58:31.000,networkx-3.5,100.0,,networkx,conda-forge/networkx,,,,440219.0,428592.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,119334042.0,119741051.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,24827607.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-09-24 03:52:56.000000,2025-09-24 03:52:56,14804.0,2938.0,453.0,1534.0,268.0,1610.0,14300.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,476.0,45,True,39.0,2024-08-18 19:48:21.000,3.9.1,63.0,,nltk,conda-forge/nltk,,,,414869.0,408839.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,6030.0,36676675.0,36738986.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3364807.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-09-25 13:57:38.000000,2025-09-25 13:57:37,15835.0,3280.0,288.0,4056.0,2924.0,2847.0,10969.0,Statsmodels: statistical modeling and econometrics in Python.,466.0,45,True,125.0,2025-07-07 12:05:08.000,0.14.5,40.0,,statsmodels,conda-forge/statsmodels,,,,183737.0,178153.0,https://pypi.org/project/statsmodels,2025-07-07 12:05:08.000,5584.0,22658471.0,23001258.0,https://anaconda.org/conda-forge/statsmodels,2025-07-07 20:02:33.033,21595636.0,,,,,1.0,36.0,,,,,,,,,,,,,,,,,,
31,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-09-25 12:02:28.000000,2025-09-25 10:56:24,10860.0,3574.0,254.0,10802.0,822.0,6592.0,30169.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1043.0,44,True,189.0,2025-09-05 16:01:16.000,2.5.5,291.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],49939.0,48150.0,https://pypi.org/project/pytorch-lightning,2025-09-05 16:01:16.000,1789.0,12120007.0,12147073.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-09-05 19:54:11.216,1685882.0,,,,,2.0,14714.0,-1.0,,,,,,,,,,,,,,,,,
32,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-09-24 22:41:19.000000,2025-09-24 15:58:23,9612.0,1798.0,213.0,6350.0,1199.0,4434.0,13498.0,Parallel computing with task scheduling.,628.0,44,True,39.0,2025-09-16 10:54:46.000,2025.9.1,224.0,,dask,conda-forge/dask,,,,80109.0,76938.0,https://pypi.org/project/dask,2025-09-16 10:54:46.000,3171.0,18028491.0,18248614.0,https://anaconda.org/conda-forge/dask,2025-09-17 20:50:13.717,14087924.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,
33,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-09-22 05:59:55.000000,2025-09-22 05:59:55,19921.0,1156.0,122.0,4072.0,56.0,1718.0,12744.0,A hyperparameter optimization framework.,316.0,44,True,424.0,2025-08-18 06:49:20.000,4.5.0,75.0,,optuna,conda-forge/optuna,,,,30850.0,29358.0,https://pypi.org/project/optuna,2025-08-18 06:49:20.000,1492.0,6982524.0,7035440.0,https://anaconda.org/conda-forge/optuna,2025-08-19 05:22:25.570,3333712.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-09-25 02:36:40.000000,2025-09-24 23:10:16,8431.0,777.0,62.0,6878.0,674.0,3011.0,10359.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",221.0,44,True,313.0,2025-09-18 20:09:42.000,0.22.0,320.0,wandb/wandb,wandb,conda-forge/wandb,,,,85834.0,83598.0,https://pypi.org/project/wandb,2025-09-18 19:12:58.000,2236.0,21246410.0,21265761.0,https://anaconda.org/conda-forge/wandb,2025-09-22 18:57:38.069,1198409.0,,,,,1.0,1116.0,,,,,,,,,,,,,,,,,,
35,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-09-25 01:15:25.000000,2025-09-25 01:14:07,6722.0,8639.0,475.0,3698.0,195.0,9858.0,55904.0,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the..",303.0,43,True,75.0,2025-08-21 11:11:37.000,3.2.0,57.0,,paddleocr,,,,['paddle'],6302.0,6129.0,https://pypi.org/project/paddleocr,2025-08-21 11:11:37.000,173.0,690164.0,723653.0,,,,,,,,1.0,2009361.0,,,,,,,,,,,,,,,,,,
36,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-09-24 21:09:36.139433,2025-09-24 13:00:06,23180.0,3439.0,315.0,26775.0,739.0,13575.0,37732.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",329.0,43,True,557.0,2025-09-22 01:07:04.000,2.5.18,130.0,,pymilvus,,milvusdb/milvus,,,349.0,,https://pypi.org/project/pymilvus,2025-09-19 07:02:12.000,349.0,13257829.0,14253372.0,,,,https://hub.docker.com/r/milvusdb/milvus,2025-09-24 21:09:36.139433,89.0,71093990.0,1.0,308853.0,,,,,,,,,,,,,,,,,,
37,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-07-06 12:34:02.785000,2025-05-28 15:23:38,16246.0,4513.0,568.0,4068.0,196.0,5551.0,32536.0,Industrial-strength Natural Language Processing (NLP) in Python.,771.0,43,True,,2025-05-23 08:54:03.000,3.8.7,242.0,,spacy,conda-forge/spacy,,,,143135.0,139943.0,https://pypi.org/project/spacy,2025-05-23 08:54:03.000,3192.0,15350800.0,15451442.0,https://anaconda.org/conda-forge/spacy,2025-07-06 12:34:02.785,6337234.0,,,,,1.0,4630.0,,,,,,,,,,,,,,,,,,
