,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-08-07 04:02:43.000000,2025-08-07 04:02:43,35751.0,543.0,5435.0,351.0,12469.0,1744.0,9488.0,13899.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1810.0,48,True,2025-07-27 17:14:18.000,1.16.1,118.0,,scipy,conda-forge/scipy,,,,1450683.0,1393219.0,https://pypi.org/project/scipy,2025-07-27 16:26:29.000,57464.0,https://anaconda.org/conda-forge/scipy,2025-06-29 23:18:19.009,66138738.0,1164516.0,,,,,1.0,490074.0,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-08-07 05:42:06.000000,2025-08-07 05:42:06,52840.0,343.0,7941.0,585.0,19428.0,1650.0,9697.0,21519.0,matplotlib: plotting with Python.,1838.0,47,True,2025-07-31 18:07:36.000,3.10.5,134.0,,matplotlib,conda-forge/matplotlib,,,,1908898.0,1844500.0,https://pypi.org/project/matplotlib,2025-07-31 18:07:36.000,64398.0,https://anaconda.org/conda-forge/matplotlib,2025-08-05 21:41:53.591,31737973.0,511902.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-08-06 22:22:12.000000,2025-08-06 22:22:12,60639.0,420.0,4709.0,290.0,14097.0,5385.0,9160.0,13807.0,A computer algebra system written in pure Python.,1393.0,47,True,2025-04-27 18:05:25.000,1.14.0,67.0,,sympy,conda-forge/sympy,,,,287539.0,282976.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4563.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,9642691.0,156940.0,,,,,1.0,562915.0,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-08-06 15:31:44.000000,2025-08-06 15:31:44,19804.0,295.0,2314.0,218.0,5595.0,129.0,3264.0,12971.0,Python Imaging Library (Fork).,490.0,46,True,2025-07-01 09:23:32.000,11.3.0,103.0,,Pillow,conda-forge/pillow,,,,2396545.0,2379398.0,https://pypi.org/project/Pillow,2025-07-01 09:13:39.000,17147.0,https://anaconda.org/conda-forge/pillow,2025-07-02 19:37:26.196,57974479.0,950401.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-08-07 03:35:57.000000,2025-08-07 03:35:57,11636.0,131.0,19602.0,1884.0,8255.0,300.0,12289.0,63288.0,Deep Learning for humans.,1421.0,45,True,2025-07-31 22:13:11.000,3.11.1,111.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1956.0,,https://pypi.org/project/keras,2025-07-31 22:13:11.000,1956.0,https://anaconda.org/conda-forge/keras,2025-05-20 06:37:42.993,4259473.0,68701.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-08-07 10:33:42.000000,2025-08-07 08:21:25,26352.0,1235.0,6684.0,490.0,34190.0,2989.0,18103.0,38364.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1314.0,45,True,2025-07-18 22:32:08.000,2.48.0,131.0,,ray,conda-forge/ray-tune,,,,26737.0,25715.0,https://pypi.org/project/ray,2025-07-18 22:32:08.000,1022.0,https://anaconda.org/conda-forge/ray-tune,2025-08-01 06:07:06.732,839823.0,14999.0,,,,,1.0,263.0,,,,,,,,,,,,,,,,,,
16,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-08-06 21:20:19.000000,2025-08-04 17:22:53,8146.0,172.0,2683.0,278.0,1934.0,707.0,2570.0,17566.0,The interactive graphing library for Python.,291.0,44,True,2025-06-26 16:24:04.000,6.2.0,309.0,,plotly,conda-forge/plotly,,,,463998.0,455353.0,https://pypi.org/project/plotly,2025-06-26 16:20:40.000,8636.0,https://anaconda.org/conda-forge/plotly,2025-06-27 11:54:45.015,10578393.0,176416.0,,,,,1.0,424.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,8502.0,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-08-07 10:12:43.000000,2025-08-07 10:12:43,7497.0,84.0,8793.0,901.0,6069.0,467.0,5106.0,27205.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",665.0,43,True,2025-07-30 16:02:31.000,3.0.3,91.0,,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,168897.0,166255.0,https://pypi.org/project/xgboost,2025-07-30 16:02:31.000,2642.0,https://anaconda.org/conda-forge/xgboost,2025-08-01 02:19:36.910,6346063.0,104164.0,,,,,1.0,18048.0,,,,,,,,,,,,,,,,,,
18,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-08-06 18:57:38.000000,2025-08-06 18:56:08,8646.0,232.0,2183.0,421.0,1307.0,543.0,1467.0,23896.0,Data Apps & Dashboards for Python. No JavaScript Required.,186.0,43,True,2025-07-31 19:20:26.000,3.2.0,194.0,,dash,conda-forge/dash,,,,90500.0,88712.0,https://pypi.org/project/dash,2025-07-31 19:18:50.000,1788.0,https://anaconda.org/conda-forge/dash,2025-07-10 06:30:22.725,1946991.0,31404.0,,,,,1.0,90.0,,,,,,,,,,,,,,,,,,
19,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-08-07 11:15:06.000000,2025-08-07 11:14:00,6679.0,218.0,8394.0,467.0,3637.0,208.0,9723.0,52375.0,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system,..",303.0,42,True,2025-06-29 06:58:04.000,3.1.0,55.0,,paddleocr,,,,['paddle'],6207.0,6053.0,https://pypi.org/project/paddleocr,2025-06-29 06:58:04.000,154.0,,,,33931.0,,,,,1.0,2001964.0,,,,,,,,,,,,,,,,,,
20,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-08-07 11:01:40.000000,2025-08-07 11:01:40,22897.0,593.0,3333.0,311.0,26321.0,646.0,13420.0,36524.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",321.0,42,True,2025-08-06 09:08:58.000,2.6.0,126.0,,pymilvus,,milvusdb/milvus,,,322.0,,https://pypi.org/project/pymilvus,2025-08-06 09:08:58.000,322.0,,,,997653.0,https://hub.docker.com/r/milvusdb/milvus,2025-08-05 11:31:44.965042,85.0,70240473.0,1.0,384146.0,,,,,,,,,,,,,,,,,,
21,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-08-07 13:58:29.000000,2025-08-07 12:52:00,29547.0,1881.0,3106.0,326.0,21151.0,1585.0,4851.0,33035.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",932.0,42,True,2025-07-22 20:33:48.000,jax-v0.7.0,180.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,48883.0,46110.0,https://pypi.org/project/jax,2025-07-22 20:30:55.000,2773.0,https://anaconda.org/conda-forge/jaxlib,2025-07-27 11:03:40.763,2941681.0,47446.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-07-06 12:34:02.785000,2025-05-28 15:23:38,16246.0,18.0,4513.0,565.0,4064.0,196.0,5550.0,32115.0,Industrial-strength Natural Language Processing (NLP) in Python.,770.0,42,True,2025-05-23 08:54:03.000,3.8.7,242.0,,spacy,conda-forge/spacy,,,,142375.0,139183.0,https://pypi.org/project/spacy,2025-05-23 08:54:03.000,3192.0,https://anaconda.org/conda-forge/spacy,2025-07-06 12:34:02.785,6048539.0,97596.0,,,,,1.0,3472.0,,,,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-08-07 14:08:49.000000,2025-08-07 11:43:59,8373.0,742.0,4736.0,313.0,12207.0,1943.0,3023.0,21508.0,The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI..,883.0,42,True,2025-08-06 03:23:50.000,3.2.0,149.0,,mlflow,conda-forge/mlflow,,,,66052.0,64830.0,https://pypi.org/project/mlflow,2025-08-05 13:30:26.000,1222.0,https://anaconda.org/conda-forge/mlflow,2025-08-06 05:59:45.596,3416149.0,55099.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-08-07 14:06:41.000000,2025-08-07 12:26:08,20808.0,41.0,4222.0,434.0,6377.0,838.0,7194.0,20018.0,"Interactive Data Visualization in the browser, from Python.",712.0,42,True,2025-05-12 12:13:27.000,3.7.3,242.0,,bokeh,conda-forge/bokeh,,,,105768.0,103722.0,https://pypi.org/project/bokeh,2025-07-25 09:59:13.000,2046.0,https://anaconda.org/conda-forge/bokeh,2025-05-12 23:15:08.842,17124907.0,276208.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-08-04 17:10:39.000000,2025-08-04 17:10:39,8046.0,68.0,3373.0,282.0,4237.0,395.0,3112.0,16034.0,Network Analysis in Python.,784.0,42,True,2025-05-29 11:58:31.000,networkx-3.5,100.0,,networkx,conda-forge/networkx,,,,437633.0,426006.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,23770262.0,396171.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,
26,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-08-07 04:26:34.000000,2025-08-07 04:26:34,14771.0,27.0,2937.0,455.0,1524.0,269.0,1607.0,14224.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,473.0,42,True,2024-08-18 19:48:21.000,3.9.1,63.0,,nltk,conda-forge/nltk,,,,413091.0,407144.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,5947.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3286210.0,62003.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
27,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-08-04 17:59:07.000000,2025-08-04 17:59:07,9592.0,37.0,1792.0,212.0,6331.0,1185.0,4426.0,13386.0,Parallel computing with task scheduling.,626.0,42,True,2025-07-14 20:03:33.000,2025.7.0,222.0,,dask,conda-forge/dask,,,,79676.0,76583.0,https://pypi.org/project/dask,2025-07-14 20:03:33.000,3093.0,https://anaconda.org/conda-forge/dask,2025-07-15 01:17:58.319,13703527.0,217516.0,,,,,1.0,,,,,,,stable/dask,,,,,,,,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-07-18 15:23:22.000000,2025-07-18 15:23:21,15742.0,37.0,3280.0,288.0,4027.0,2924.0,2842.0,10854.0,Statsmodels: statistical modeling and econometrics in Python.,462.0,42,True,2025-07-07 12:05:08.000,0.14.5,40.0,,statsmodels,conda-forge/statsmodels,,,,182922.0,177338.0,https://pypi.org/project/statsmodels,2025-07-07 12:05:08.000,5584.0,https://anaconda.org/conda-forge/statsmodels,2025-07-07 20:02:33.033,20719186.0,334180.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,
29,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-08-07 10:02:06.000000,2025-08-07 10:01:58,45163.0,798.0,28722.0,2017.0,51864.0,223.0,,41619.0,Apache Spark Python API.,3279.0,41,True,2025-05-27 08:24:20.000,3.5.6,54.0,,pyspark,conda-forge/pyspark,,,['spark'],1962.0,,https://pypi.org/project/pyspark,2025-07-14 02:11:52.000,1962.0,https://anaconda.org/conda-forge/pyspark,2025-05-23 07:05:33.236,4099713.0,66124.0,,,,,2.0,,,,,,,stable/spark,,,,,,,,,,,,
30,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-08-06 09:17:32.000000,2025-08-06 09:17:32,10709.0,117.0,3551.0,255.0,10620.0,960.0,6427.0,29911.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1031.0,41,True,2025-06-20 15:58:25.000,2.5.2,288.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],49633.0,47873.0,https://pypi.org/project/pytorch-lightning,2025-06-20 15:58:25.000,1760.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-06-21 11:25:06.850,1631145.0,26605.0,,,,,2.0,14266.0,,,,,,,,,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-08-07 12:29:55.000000,2025-08-07 12:29:55,55012.0,1235.0,5778.0,716.0,55328.0,1793.0,17904.0,23115.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1414.0,41,True,2025-06-29 15:25:35.000,3.1.0,75.0,,paddlepaddle,,,,['paddle'],8883.0,8634.0,https://pypi.org/project/paddlepaddle,2025-06-29 15:25:35.000,249.0,,,,142.0,,,,,2.0,15438.0,,,,,,,,,,,,,,,,,,
32,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-08-06 18:40:22.425000,2025-08-06 14:05:54,2356.0,363.0,2661.0,145.0,759.0,1302.0,1178.0,17274.0,State-of-the-Art Text Embeddings.,234.0,41,True,2025-08-06 13:49:08.000,5.1.0,67.0,,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],124324.0,121177.0,https://pypi.org/project/sentence-transformers,2025-08-06 13:48:53.000,3147.0,https://anaconda.org/conda-forge/sentence-transformers,2025-08-06 18:40:22.425,818964.0,13880.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-08-03 13:25:02.000000,2025-08-03 13:17:18,5201.0,33.0,2159.0,1664.0,5142.0,433.0,2791.0,13394.0,WebGL2 powered visualization framework.,294.0,41,True,2025-07-28 19:19:36.867,9.1.14,699.0,,pydeck,conda-forge/pydeck,,,['jupyter'],9689.0,9183.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,797916.0,711214.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-07-28 19:19:36.867,349.0,698134.0,,,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-08-07 10:58:44.000000,2025-08-07 10:58:43,19721.0,499.0,1133.0,118.0,4034.0,68.0,1707.0,12431.0,A hyperparameter optimization framework.,313.0,41,True,2025-06-16 05:12:58.000,4.4.0,74.0,,optuna,conda-forge/optuna,,,,30356.0,28972.0,https://pypi.org/project/optuna,2025-06-16 05:12:58.000,1384.0,https://anaconda.org/conda-forge/optuna,2025-06-17 02:59:31.546,3132358.0,50521.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-08-07 12:39:21.000000,2025-08-07 00:55:42,8252.0,314.0,763.0,62.0,6634.0,656.0,2987.0,10198.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",217.0,41,True,2025-07-02 00:25:13.000,0.21.0,315.0,wandb/wandb,wandb,conda-forge/wandb,,,,84899.0,82904.0,https://pypi.org/project/wandb,2025-07-02 00:23:46.000,1995.0,https://anaconda.org/conda-forge/wandb,2025-07-02 20:19:39.189,1149304.0,18860.0,,,,,1.0,983.0,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-08-04 22:37:25.000000,2025-08-04 22:37:25,2907.0,154.0,4971.0,318.0,651.0,50.0,945.0,34969.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",178.0,40,True,2025-07-24 03:06:41.000,1.0.19,70.0,huggingface/pytorch-image-models,timm,conda-forge/timm,,,['pytorch'],62055.0,60736.0,https://pypi.org/project/timm,2025-07-24 03:04:03.000,1319.0,https://anaconda.org/conda-forge/timm,2025-07-24 15:16:43.495,424627.0,115591.0,,,,,1.0,8147289.0,,,,,,,,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2025-08-04 21:55:55.000000,2025-07-30 13:49:34,2856.0,23.0,3377.0,247.0,1099.0,653.0,1988.0,24233.0,A game theoretic approach to explain the output of any machine learning model.,274.0,40,True,2025-06-12 13:04:48.000,0.48.0,108.0,shap/shap,shap,conda-forge/shap,,,,36041.0,35024.0,https://pypi.org/project/shap,2025-06-12 13:04:48.000,1017.0,https://anaconda.org/conda-forge/shap,2025-06-17 14:18:04.461,6863077.0,122554.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
