,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-09-11 11:54:15.000000,2025-09-11 11:54:15,55524.0,5809.0,714.0,56029.0,1793.0,17963.0,23195.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1427.0,46,True,1328.0,2025-09-08 13:41:01.000,3.2.0,77.0,,paddlepaddle,,,['paddle'],15453.0,540954.0,8948.0,8689.0,https://pypi.org/project/paddlepaddle,2025-09-08 07:50:35.000,259.0,540813.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
20,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-09-11 13:30:01.000000,2025-09-11 13:29:39,45487.0,28782.0,2018.0,52266.0,231.0,,41867.0,Apache Spark Python API.,3286.0,45,True,884.0,2025-09-06 07:15:57.000,4.0.1,55.0,,pyspark,conda-forge/pyspark,,['spark'],,45408219.0,2004.0,,https://pypi.org/project/pyspark,2025-09-06 07:15:57.000,2004.0,45342069.0,https://anaconda.org/conda-forge/pyspark,2025-09-08 08:26:11.689,4167499.0,1.0,,,,,,,,,,,stable/spark,,,,,,,,,,,,
21,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-09-11 15:07:40.000000,2025-09-11 15:02:54,8020.0,3047.0,192.0,5479.0,429.0,5560.0,39835.0,"Wrap UIs around any model, share with anyone.",661.0,45,True,214.0,2025-09-10 17:06:18.000,5.45.0,670.0,,gradio,,,,,9842166.0,84337.0,82840.0,https://pypi.org/project/gradio,2025-09-10 17:06:18.000,1497.0,9842166.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-09-11 14:08:49.000000,2025-09-11 14:08:03,30415.0,3134.0,326.0,21964.0,1609.0,4905.0,33404.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",948.0,45,True,2046.0,2025-08-20 16:04:56.000,jax-v0.7.1,181.0,jax-ml/jax,jax,conda-forge/jaxlib,,,,10654396.0,49253.0,46409.0,https://pypi.org/project/jax,2025-08-20 15:55:44.000,2844.0,10606012.0,https://anaconda.org/conda-forge/jaxlib,2025-09-09 14:50:54.038,3048241.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-09-11 13:49:09.000000,2025-09-11 08:02:38,10843.0,3561.0,253.0,10760.0,850.0,6554.0,30113.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1043.0,45,True,202.0,2025-09-05 16:01:16.000,2.5.5,291.0,Lightning-AI/pytorch-lightning,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],14527.0,9724907.0,49861.0,48072.0,https://pypi.org/project/pytorch-lightning,2025-09-05 16:01:16.000,1789.0,9698107.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-09-05 19:54:11.216,1669429.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
24,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-09-09 21:04:29.000000,2025-09-09 14:25:10,8710.0,2188.0,422.0,1327.0,548.0,1476.0,24029.0,Data Apps & Dashboards for Python. No JavaScript Required.,187.0,45,True,157.0,2025-07-31 19:20:26.000,3.2.0,194.0,,dash,conda-forge/dash,,,92.0,4768142.0,90747.0,88945.0,https://pypi.org/project/dash,2025-07-31 19:18:50.000,1802.0,4736407.0,https://anaconda.org/conda-forge/dash,2025-08-11 10:03:34.775,1999287.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-09-11 14:34:46.000000,2025-09-11 14:25:42,8662.0,4794.0,316.0,12675.0,1983.0,3089.0,21990.0,The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI..,894.0,45,True,685.0,2025-08-28 06:09:39.000,2.22.2,154.0,,mlflow,conda-forge/mlflow,,,,22334328.0,66389.0,65145.0,https://pypi.org/project/mlflow,2025-08-28 06:03:56.000,1244.0,22278616.0,https://anaconda.org/conda-forge/mlflow,2025-08-08 01:00:16.266,3509856.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-09-02 01:08:33.000000,2025-09-02 01:08:32,20840.0,4234.0,435.0,6401.0,825.0,7216.0,20094.0,"Interactive Data Visualization in the browser, from Python.",714.0,45,True,56.0,2025-08-29 12:16:52.000,3.8.0,247.0,,bokeh,conda-forge/bokeh,,,,5041439.0,106029.0,103932.0,https://pypi.org/project/bokeh,2025-08-29 13:16:50.000,2097.0,4765539.0,https://anaconda.org/conda-forge/bokeh,2025-08-30 08:43:51.245,17381709.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-09-11 15:22:57.000000,2025-09-11 12:40:34,4833.0,2147.0,201.0,6061.0,793.0,1099.0,16835.0,Development repository for the Triton language and compiler.,455.0,45,True,632.0,2025-07-30 20:47:15.000,3.4.0,200.0,triton-lang/triton,triton,,,,707.0,35982652.0,74051.0,73583.0,https://pypi.org/project/triton,2025-07-30 19:58:21.000,468.0,35982299.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-09-10 19:48:56.000000,2025-09-10 19:48:56,8086.0,3392.0,283.0,4284.0,388.0,3130.0,16154.0,Network Analysis in Python.,790.0,45,True,78.0,2025-05-29 11:58:31.000,networkx-3.5,100.0,,networkx,conda-forge/networkx,,,113.0,116104657.0,439474.0,427847.0,https://pypi.org/project/networkx,2025-05-29 11:35:04.000,11627.0,115703204.0,https://anaconda.org/conda-forge/networkx,2025-06-04 23:05:28.954,24488660.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-08-29 08:43:12.000000,2025-08-29 08:43:12,14785.0,2938.0,454.0,1526.0,268.0,1609.0,14274.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,475.0,45,True,25.0,2024-08-18 19:48:21.000,3.9.1,63.0,,nltk,conda-forge/nltk,,,,35918195.0,414402.0,408372.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,6030.0,35856381.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3338003.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-09-10 07:36:02.000000,2025-09-10 07:36:02,15761.0,3280.0,288.0,4038.0,2924.0,2844.0,10940.0,Statsmodels: statistical modeling and econometrics in Python.,463.0,45,True,53.0,2025-07-07 12:05:08.000,0.14.5,40.0,,statsmodels,conda-forge/statsmodels,,,36.0,22731340.0,183485.0,177901.0,https://pypi.org/project/statsmodels,2025-07-07 12:05:08.000,5584.0,22392205.0,https://anaconda.org/conda-forge/statsmodels,2025-07-07 20:02:33.033,21365547.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-09-11 14:35:05.000000,2025-09-11 02:39:23,24904.0,4062.0,138.0,7147.0,1170.0,5925.0,28698.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",820.0,44,True,2332.0,2025-09-11 03:18:02.000,1.77.1.de.2,1225.0,,litellm,,,others,661.0,21869323.0,18218.0,16562.0,https://pypi.org/project/litellm,2025-09-09 14:50:18.000,1656.0,21869103.0,,,,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,
32,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-09-10 10:16:06.000000,2025-09-10 10:08:51,9603.0,1796.0,213.0,6341.0,1199.0,4429.0,13475.0,Parallel computing with task scheduling.,627.0,44,True,32.0,2025-09-10 10:16:06.000,2025.9.0,223.0,,dask,conda-forge/dask,,,,17941671.0,80004.0,76837.0,https://pypi.org/project/dask,2025-09-10 10:16:06.000,3167.0,17723331.0,https://anaconda.org/conda-forge/dask,2025-07-15 01:17:58.319,13973796.0,1.0,,,,,,,,,,,stable/dask,,,,,,,,,,,,
33,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-09-11 06:45:24.000000,2025-09-11 06:45:24,19895.0,1147.0,122.0,4061.0,56.0,1716.0,12637.0,A hyperparameter optimization framework.,314.0,44,True,468.0,2025-08-18 06:49:20.000,4.5.0,75.0,,optuna,conda-forge/optuna,,,,6705817.0,30747.0,29255.0,https://pypi.org/project/optuna,2025-08-18 06:49:20.000,1492.0,6653518.0,https://anaconda.org/conda-forge/optuna,2025-08-19 05:22:25.570,3294889.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
34,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2025-09-11 14:29:34.000000,2025-09-11 01:47:52,8374.0,770.0,62.0,6790.0,676.0,3003.0,10309.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",219.0,44,True,306.0,2025-09-04 19:35:22.000,0.21.3,318.0,wandb/wandb,wandb,conda-forge/wandb,,,1082.0,20931216.0,85556.0,83386.0,https://pypi.org/project/wandb,2025-08-30 18:21:33.000,2170.0,20912124.0,https://anaconda.org/conda-forge/wandb,2025-08-19 20:49:21.161,1182388.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2025-09-10 03:43:26.000000,2025-09-10 03:42:14,6714.0,8534.0,467.0,3684.0,195.0,9814.0,53595.0,"Awesome multilingual OCR and Document Parsing toolkits based on PaddlePaddle (practical ultra lightweight OCR system,..",303.0,43,True,91.0,2025-08-21 11:11:37.000,3.2.0,57.0,,paddleocr,,,['paddle'],2007099.0,646588.0,6272.0,6099.0,https://pypi.org/project/paddleocr,2025-08-21 11:11:37.000,173.0,613137.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-09-11 13:20:45.176463,2025-09-11 11:57:58,23097.0,3387.0,313.0,26636.0,733.0,13516.0,37187.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",328.0,43,True,556.0,2025-09-01 06:05:31.000,2.6.1,128.0,,pymilvus,,,,347374.0,13051741.0,333.0,,https://pypi.org/project/pymilvus,2025-08-29 10:03:48.000,333.0,12059540.0,,,,1.0,milvusdb/milvus,https://hub.docker.com/r/milvusdb/milvus,2025-09-11 13:20:45.176463,88.0,70856895.0,,,,,,,,,,,,,,,,,,
37,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-07-06 12:34:02.785000,2025-05-28 15:23:38,16246.0,4513.0,568.0,4069.0,196.0,5551.0,32461.0,Industrial-strength Natural Language Processing (NLP) in Python.,771.0,43,True,,2025-05-23 08:54:03.000,3.8.7,242.0,,spacy,conda-forge/spacy,,,4572.0,16299101.0,142893.0,139701.0,https://pypi.org/project/spacy,2025-05-23 08:54:03.000,3192.0,16199891.0,https://anaconda.org/conda-forge/spacy,2025-07-06 12:34:02.785,6247111.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
